item_name,grade,zone,unit,current_stock
다크오팔바질,10cm,서울,개,0
다크오팔바질,10cm,10동,개,0
다크오팔바질,10cm,자스민,개,0
다크오팔바질,10cm,9연동,개,0
다크오팔바질,10cm,곤지암,개,0
다크오팔바질,10cm,대관령,개,0
다크오팔바질,10cm,평창,개,0
딜,10cm,서울,개,901
딜,10cm,10동,개,0
딜,10cm,자스민,개,0
딜,10cm,9연동,개,0
딜,10cm,곤지암,개,0
딜,10cm,대관령,개,0
딜,10cm,평창,개,0
딜,15cm,서울,개,0
딜,15cm,10동,개,0
딜,15cm,자스민,개,0
딜,15cm,9연동,개,0
딜,15cm,곤지암,개,0
딜,15cm,대관령,개,0
딜,15cm,평창,개,0
램즈이어,10cm,서울,개,288
램즈이어,10cm,10동,개,0
램즈이어,10cm,자스민,개,0
램즈이어,10cm,9연동,개,0
램즈이어,10cm,곤지암,개,0
램즈이어,10cm,대관령,개,0
램즈이어,10cm,평창,개,0
램즈이어,18cm,서울,개,463
램즈이어,18cm,10동,개,0
램즈이어,18cm,자스민,개,0
램즈이어,18cm,9연동,개,0
램즈이어,18cm,곤지암,개,0
램즈이어,18cm,대관령,개,0
램즈이어,18cm,평창,개,0
러시안세이지,10cm,서울,개,107
러시안세이지,10cm,10동,개,0
러시안세이지,10cm,자스민,개,0
러시안세이지,10cm,9연동,개,0
러시안세이지,10cm,곤지암,개,0
러시안세이지,10cm,대관령,개,0
러시안세이지,10cm,평창,개,0
러시안세이지,15cm,서울,개,20
러시안세이지,15cm,10동,개,0
러시안세이지,15cm,자스민,개,0
러시안세이지,15cm,9연동,개,0
러시안세이지,15cm,곤지암,개,9
러시안세이지,15cm,대관령,개,0
러시안세이지,15cm,평창,개,0
러시안세이지,18cm,서울,개,908
러시안세이지,18cm,10동,개,0
러시안세이지,18cm,자스민,개,0
러시안세이지,18cm,9연동,개,0
러시안세이지,18cm,곤지암,개,0
러시안세이지,18cm,대관령,개,0
러시안세이지,18cm,평창,개,0
레드야로우,10cm,서울,개,261
레드야로우,10cm,10동,개,0
레드야로우,10cm,자스민,개,0
레드야로우,10cm,9연동,개,0
레드야로우,10cm,곤지암,개,0
레드야로우,10cm,대관령,개,0
레드야로우,10cm,평창,개,0
레몬그라스,10cm,서울,개,0
레몬그라스,10cm,10동,개,0
레몬그라스,10cm,자스민,개,0
레몬그라스,10cm,9연동,개,0
레몬그라스,10cm,곤지암,개,0
레몬그라스,10cm,대관령,개,0
레몬그라스,10cm,평창,개,0
레몬그라스,18cm,서울,개,9
레몬그라스,18cm,10동,개,0
레몬그라스,18cm,자스민,개,0
레몬그라스,18cm,9연동,개,0
레몬그라스,18cm,곤지암,개,0
레몬그라스,18cm,대관령,개,0
레몬그라스,18cm,평창,개,0
레몬밤,10cm,서울,개,940
레몬밤,10cm,10동,개,0
레몬밤,10cm,자스민,개,0
레몬밤,10cm,9연동,개,0
레몬밤,10cm,곤지암,개,0
레몬밤,10cm,대관령,개,0
레몬밤,10cm,평창,개,0
레몬밤,18cm,서울,개,240
레몬밤,18cm,10동,개,0
레몬밤,18cm,자스민,개,0
레몬밤,18cm,9연동,개,0
레몬밤,18cm,곤지암,개,0
레몬밤,18cm,대관령,개,0
레몬밤,18cm,평창,개,0
레몬버베나,10cm,서울,개,0
레몬버베나,10cm,10동,개,0
레몬버베나,10cm,자스민,개,0
레몬버베나,10cm,9연동,개,646
레몬버베나,10cm,곤지암,개,0
레몬버베나,10cm,대관령,개,0
레몬버베나,10cm,평창,개,0
레몬버베나,18cm,서울,개,11
레몬버베나,18cm,10동,개,0
레몬버베나,18cm,자스민,개,0
레몬버베나,18cm,9연동,개,831
레몬버베나,18cm,곤지암,개,0
레몬버베나,18cm,대관령,개,0
레몬버베나,18cm,평창,개,0
레몬버베나,24cm,서울,개,13
레몬버베나,24cm,10동,개,0
레몬버베나,24cm,자스민,개,0
레몬버베나,24cm,9연동,개,90
레몬버베나,24cm,곤지암,개,0
레몬버베나,24cm,대관령,개,0
레몬버베나,24cm,평창,개,0
레몬버베나,30cm,서울,개,12
레몬버베나,30cm,10동,개,0
레몬버베나,30cm,자스민,개,0
레몬버베나,30cm,9연동,개,7
레몬버베나,30cm,곤지암,개,0
레몬버베나,30cm,대관령,개,0
레몬버베나,30cm,평창,개,0
레몬유칼리,10cm,서울,개,100
레몬유칼리,10cm,10동,개,0
레몬유칼리,10cm,자스민,개,0
레몬유칼리,10cm,9연동,개,0
레몬유칼리,10cm,곤지암,개,0
레몬유칼리,10cm,대관령,개,0
레몬유칼리,10cm,평창,개,0
레몬유칼리,18cm,서울,개,49
레몬유칼리,18cm,10동,개,0
레몬유칼리,18cm,자스민,개,0
레몬유칼리,18cm,9연동,개,0
레몬유칼리,18cm,곤지암,개,0
레몬유칼리,18cm,대관령,개,0
레몬유칼리,18cm,평창,개,0
레몬유칼리,24cm,서울,개,26
레몬유칼리,24cm,10동,개,0
레몬유칼리,24cm,자스민,개,0
레몬유칼리,24cm,9연동,개,0
레몬유칼리,24cm,곤지암,개,0
레몬유칼리,24cm,대관령,개,0
레몬유칼리,24cm,평창,개,0
레몬유칼리,30cm,서울,개,6
레몬유칼리,30cm,10동,개,0
레몬유칼리,30cm,자스민,개,0
레몬유칼리,30cm,9연동,개,0
레몬유칼리,30cm,곤지암,개,0
레몬유칼리,30cm,대관령,개,0
레몬유칼리,30cm,평창,개,0
레몬유칼리,특대,서울,개,1
레몬유칼리,특대,10동,개,0
레몬유칼리,특대,자스민,개,0
레몬유칼리,특대,9연동,개,0
레몬유칼리,특대,곤지암,개,0
레몬유칼리,특대,대관령,개,0
레몬유칼리,특대,평창,개,0
레몬제라늄,18cm,서울,개,14
레몬제라늄,18cm,10동,개,0
레몬제라늄,18cm,자스민,개,0
레몬제라늄,18cm,9연동,개,382
레몬제라늄,18cm,곤지암,개,0
레몬제라늄,18cm,대관령,개,0
레몬제라늄,18cm,평창,개,0
레몬제라늄,24cm,서울,개,86
레몬제라늄,24cm,10동,개,0
레몬제라늄,24cm,자스민,개,0
레몬제라늄,24cm,9연동,개,6
레몬제라늄,24cm,곤지암,개,0
레몬제라늄,24cm,대관령,개,0
레몬제라늄,24cm,평창,개,0
레몬제라늄,30cm,서울,개,4
레몬제라늄,30cm,10동,개,0
레몬제라늄,30cm,자스민,개,0
레몬제라늄,30cm,9연동,개,13
레몬제라늄,30cm,곤지암,개,0
레몬제라늄,30cm,대관령,개,0
레몬제라늄,30cm,평창,개,0
레몬타임,10cm,서울,개,247
레몬타임,10cm,10동,개,0
